Time,dogecoin,bitcoin,ethereum,shared
2021-01-25 00:00:00,49,,,
2021-01-25 01:00:00,37,,,
2021-01-25 02:00:00,17,,,
2021-01-25 03:00:00,23,,,
2021-01-25 04:00:00,30,,,
2021-01-25 05:00:00,24,,,
2021-01-25 06:00:00,25,,,
2021-01-25 07:00:00,22,,,
2021-01-25 08:00:00,23,,,
2021-01-25 09:00:00,21,,,
2021-01-25 10:00:00,18,,,
2021-01-25 11:00:00,12,,,
2021-01-25 12:00:00,31,,,
2021-01-25 13:00:00,33,,,
2021-01-25 14:00:00,26,,,
2021-01-25 15:00:00,35,,,
2021-01-25 16:00:00,49,,,
2021-01-25 17:00:00,42,,,
2021-01-25 18:00:00,38,,,
2021-01-25 19:00:00,57,,,
2021-01-25 20:00:00,37,,,
2021-01-25 21:00:00,50,,,
2021-01-25 22:00:00,37,,,
2021-01-25 23:00:00,30,,,
2021-01-26 00:00:00,34,,,
2021-01-26 01:00:00,28,,,
2021-01-26 02:00:00,45,,,
2021-01-26 03:00:00,39,,,
2021-01-26 04:00:00,33,,,
2021-01-26 05:00:00,32,,,
2021-01-26 06:00:00,22,,,
2021-01-26 07:00:00,22,,,
2021-01-26 08:00:00,24,,,
2021-01-26 09:00:00,18,,,
2021-01-26 10:00:00,22,,,
2021-01-26 11:00:00,50,,,
2021-01-26 12:00:00,39,,,
2021-01-26 13:00:00,43,,,
2021-01-26 14:00:00,45,,,
2021-01-26 15:00:00,26,,,
2021-01-26 16:00:00,32,,,
2021-01-26 17:00:00,39,,,
2021-01-26 18:00:00,30,,,
2021-01-26 19:00:00,53,,,
2021-01-26 20:00:00,69,,,
2021-01-26 21:00:00,75,,,
2021-01-26 22:00:00,55,,,
2021-01-26 23:00:00,69,,,
2021-01-27 00:00:00,56,,,
2021-01-27 01:00:00,49,,,
2021-01-27 02:00:00,44,,,
2021-01-27 03:00:00,66,,,
2021-01-27 04:00:00,33,,,
2021-01-27 05:00:00,34,,,
2021-01-27 06:00:00,37,,,
2021-01-27 07:00:00,31,,,
2021-01-27 08:00:00,30,,,
2021-01-27 09:00:00,32,,,
2021-01-27 10:00:00,31,,,
2021-01-27 11:00:00,29,,,
2021-01-27 12:00:00,50,,,
2021-01-27 13:00:00,49,,,
2021-01-27 14:00:00,66,,,
2021-01-27 15:00:00,56,,,
2021-01-27 16:00:00,91,,,
2021-01-27 17:00:00,72,,,
2021-01-27 18:00:00,143,,,
2021-01-27 19:00:00,123,,,
2021-01-27 20:00:00,109,,,
2021-01-27 21:00:00,85,,,
2021-01-27 22:00:00,122,,,
2021-01-27 23:00:00,136,,,
2021-01-28 00:00:00,148,,,
2021-01-28 01:00:00,112,,,
2021-01-28 02:00:00,163,,,
2021-01-28 03:00:00,136,,,
2021-01-28 04:00:00,1450,,,
2021-01-28 05:00:00,4542,,,
2021-01-28 06:00:00,3402,,,
2021-01-28 07:00:00,1579,,,
2021-01-28 08:00:00,1231,,,
2021-01-28 09:00:00,910,,,
2021-01-28 10:00:00,1276,,,
2021-01-28 11:00:00,1190,,,
2021-01-28 12:00:00,1225,,,
2021-01-28 13:00:00,1431,,,
2021-01-28 14:00:00,3509,,,
2021-01-28 15:00:00,6964,,,
2021-01-28 16:00:00,4351,,,
2021-01-28 17:00:00,4696,,,
2021-01-28 18:00:00,5138,,,
2021-01-28 19:00:00,6154,,,
2021-01-28 20:00:00,5453,,,
2021-01-28 21:00:00,4190,,,
2021-01-28 22:00:00,5898,,,
2021-01-28 23:00:00,12049,,,
2021-01-29 00:00:00,17726,,,
2021-01-29 01:00:00,12253,,,
2021-01-29 02:00:00,11822,,,
2021-01-29 03:00:00,25744,,,
2021-01-29 04:00:00,19520,,,
2021-01-29 05:00:00,13297,,,
2021-01-29 06:00:00,11174,,,
2021-01-29 07:00:00,9611,,,
2021-01-29 08:00:00,7554,,,
2021-01-29 09:00:00,4444,,,
2021-01-29 10:00:00,4432,,,
2021-01-29 11:00:00,4909,,,
2021-01-29 12:00:00,7491,,,
2021-01-29 13:00:00,8019,,,
2021-01-29 14:00:00,9255,,,
